stud,sex,birth,sire,dam,taxon,name,death,events
6401,F,~ 1964,WILD,WILD,fulgens,,1978-01-31,SCASIA         ~ 1964   NONE      Capture                        fulgens | ZEEHANDLR    ????     ______      Transfer | COLO SPRG 16 Jul 1969 100259      Transfer | 31 Jan 1978             Death | [Death by: Infection associated   Bury   Urinary    Unknown after necropsy]
6801,M,~ 1964,WILD,WILD,fulgens,,1979-08-18,SCASIA         ~ 1964   NONE      Capture             FM/00/68/01 fulgens | ZEEHANDLR    ????     ______      Transfer | COLO SPRG 19 Sep 1968 100258      Transfer | 18 Aug 1979             Death | [Death by: Infection associated   Bury   Generalized    Unknown after necropsy]
6806,F,~ 1964,WILD,WILD,fulgens,,1977-12-04,SCASIA         ~ 1964   NONE      Capture             FF/00/68/06 fulgens | ZEEHANDLR    ????     ______      Transfer | COLO SPRG 22 May 1968 100257      Transfer | 4 Dec 1977             Death | [Death by: Infection associated   Bury   Respiratory    Unknown after necropsy]
6802,M,~ 1965,WILD,WILD,fulgens,,1982-12-06,COLO SPRG   30 Jul 1969 69M001    Transfer   MUGGER              fulgens | DENVER      30 Dec 1975 01237     Transfer | 6 Dec 1982           Death | [Death by: Unknown means]
6602,F,~ 1966,WILD,WILD,fulgens,,1980-08-14,COLWYNBAY      ????     ______    Transfer   BESS                fulgens | LONDON RP    3 Mar 1969   1515    Transfer | WHIPSNADE   19 May 1969 ______    Transfer | LONDON RP    8 Jan 1976   1515    Transfer | WHIPSNADE   15 Jan 1976 ______    Transfer | LONDON RP   12 Jan 1977   1515    Transfer | WHIPSNADE   11 May 1977 ______    Transfer | 14 Aug 1980           Death | [Death by: Unknown means]
6702,M,~ 1966,WILD,WILD,fulgens,,1981-02-26,KATHMANDU        ~ 1966   NONE    Capture    Original G          fulgens | V.D.BRINK       ????      ______     Transfer | SAN FRAN      2 Feb 1967    1674     Transfer | 26 Feb 1981             Death | [Death by: Euthanasia (medical)         Unknown     Generalized    Mechanical abnormality]
6905,M,~ 1966,WILD,WILD,fulgens,,1977-10-24,ZEEHANDLR        ????     ______     Transfer                        fulgens | BUFFALO       17 Jul 1969    264     Transfer | 24 Oct 1977            Death | [Death by: Other/Unknown         Given to an institution:    Necropsy planned later]
6701,M,~ 1967,WILD,WILD,fulgens,,1980-02-05,BREMEN           ????     ______     Transfer   PORGY                fulgens | LONDON RP      2 Oct 1967   1514     Transfer | WHIPSNADE     19 May 1969 ______     Transfer | LONDON RP     12 Jan 1977   1514     Transfer | WHIPSNADE     11 May 1977 ______     Transfer | 5 Feb 1980            Death | [Death by: Unknown means]
6803,M,~ 1967,WILD,WILD,fulgens,,1980-10-12,KREFELD       30 Jan 1968 ______     Transfer   TOM                  fulgens | 12 Oct 1980            Death | [Death by: Unknown means]
6804,F,~ 1967,WILD,WILD,fulgens,,1979-03-05,KREFELD       31 Jan 1968 ______     Transfer   TESSY                fulgens | 5 Mar 1979            Death | [Death by: Unknown means]
6805,M,~ 1967,WILD,WILD,fulgens,,1978-09-05,ASIA               ~ 1967   NONE     Capture             FM/00/68/05 fulgens | V.D.BRINK        ????     ______     Transfer | LOSANGELE     21 Nov 1968 04993      Transfer | BUFFALO       28 Oct 1977    677     Transfer | 5 Sep 1978            Death | [Death by: Other/Unknown         Given to an institution:    Unknown (after necropsy)] | 6901     M       ????            UNK     UNK     LODZ          25 Aug 1969   1639     Transfer   DAN                  fulgens | 14 Feb 1981            Death | [Death by: Unknown means]
6902,F,~ 1968,WILD,WILD,fulgens,,1979-03-08,RUSHDEN    ????      ______     Transfer Shiwa                       fulgens | LONDON RP | 28 Feb 1969    1512     Transfer | 8 Mar 1979             Death | [Death by: Euthanasia (medical)   Unknown    Unknown (after necropsy)]
6903,F,~ 1968,WILD,WILD,fulgens,,1980-06-09,RUSHDEN          ????     ______     Transfer    SUKA                fulgens | LONDON RP     28 Feb 1969   1513     Transfer | 9 Jun 1980            Death | [Death by: Unknown means]
6904,M,~ 1968,WILD,WILD,fulgens,,1978-01-19,ZEEHANDLR        ????     ______     Transfer                        fulgens | NY BRONX      28 Jan 1969 00308      Transfer | 19 Jan 1978            Death | [Death by: Euthanasia (medical)           Incinerate      Necropsy planned later   Unknown after necropsy]
7212,M,~ 1968,WILD,WILD,fulgens,,1983-01-11,WILD             ????        NONE     Capture                        fulgens | STUTTGART     26 Jan 1972 ______      Transfer | ROTTERDAM     21 Dec 1978 102301      Transfer | 11 Jan 1983             Death | [Death by: Other/Unknown           Incinerate    No necropsy planned] | T225     F         ~ 1968        UNK       UNK     ZEEHANDLR     ????     ______      Transfer                          fulgens | NY BRONX   28 Jan 1969 00309       Transfer | 5 Jun 1977             Death | [Death by: Other/Unknown        Incinerate      Necropsy planned later    Unknown after necropsy] | T227     F         ~ 1968       WILD      WILD     ASIA       ~ 1968   NONE      Capture                                fulgens | V.D.BRINK????     ______      Transfer | LOSANGELE | 23 Apr 1969 05154       Transfer | 9 Jul 1977             Death | [Death by: Euthanasia (medical)   Incinerate    Necropsy planned later]
7106,F,~ 1969,WILD,WILD,fulgens,,1980-06-01,DELHI            ????     ______     Transfer MARA       FF/00/71/06 fulgens | NZP-WASH       6 May 1971 100126     Transfer | SEATTLE       31 Oct 1978 20925      Transfer | 1 Jun 1980            Death | [Death by: Other/Unknown           Given to an institution:    Unknown (after necropsy)]
7112,F,~ 1970,WILD,WILD,fulgens,,1985-09-25,KATHMANDU       ~ 1970   NONE     Capture                    FF/00/71/12 fulgens | SAN FRAN    8 Mar 1971   1717     Transfer | V.D.BRINK     ????     ______     Transfer | SAN FRAN   25 Sep 1985            Death | [Death by: Old age    Incinerate   No necropsy planned]
7101,M,~ 1970,WILD,WILD,fulgens,,1987-02-04,BERLINZOO     25 Feb 1971 ______     Transfer    PANDI               fulgens | 4 Feb 1987            Death | [Death by: Unknown means]
7102,M,~ 1970,WILD,WILD,fulgens,,1978-01-28,AMSTERDAM      7 Dec 1971 ______     Transfer                         fulgens | 28 Jan 1978            Death | [Death by: Unknown means]
7103,F,~ 1970,WILD,WILD,fulgens,,1984-01-07,AMSTERDAM      7 Dec 1971 ______     Transfer                         fulgens | 7 Jan 1984            Death | [Death by: Unknown means]
7104,F,~ 1970,WILD,WILD,fulgens,,1984-08-24,BERLINZOO      1 Dec 1971 ______     Transfer                         fulgens | 24 Aug 1984            Death | [Death by: Unknown means]
7105,F,~ 1970,WILD,WILD,fulgens,,1979-05-24,BERLINZOO      1 Dec 1971 ______     Transfer                         fulgens | 24 May 1979            Death | [Death by: Unknown means]
7107,F,~ 1970,WILD,WILD,fulgens,,1980-11-05,TOKYOTAMA     11 Mar 1971 ______     Transfer   CHUKO                 fulgens | 5 Nov 1980            Death | [Death by: Unknown means]
7108,M,~ 1970,WILD,WILD,fulgens,,1979-03-11,TOKYOTAMA     11 Mar 1971 ______     Transfer   PANPEE                fulgens | 11 Mar 1979            Death | [Death by: Unknown means]
7109,F,~ 1970,WILD,WILD,fulgens,,1979-05-01,ASIA             ????       NONE     Capture                          fulgens | FERNDALE         ????     ______     Transfer | DALLAS         8 Mar 1971 001167     Transfer | 1 May 1979            Death | [Death by: Other/Unknown       Unknown   Cardiovascular   Unknown after necropsy]
7110,M,~ 1970,WILD,WILD,fulgens,,1979-01-31,ASIA         ????       NONE     Capture   SIKKIM                     fulgens | BROWNSVIL 30 Mar 1971   9408     Transfer | DALLAS    10 Jul 1974 001321     Transfer | 31 Jan 1979            Death | [Death by: Environ/Behav conditions   Unknown   No necropsy planned]
7111,F,~ 1970,WILD,WILD,fulgens,,1984-01-18,NEPAL              ~ 1970   NONE     Capture    Split Ear FF/00/71/11 fulgens | FERNDALE         ????     ______     Transfer | SAN FRAN       8 Mar 1971   1718     Transfer | CINCINNAT      4 Jan 1983 M9076      Transfer | SAN FRAN      28 Sep 1983   1718     Transfer | 18 Jan 1984            Death | [Death by: Euthanasia (medical)         Incinerate      Generalized   Unknown after necropsy]
7113,M,~ 1970,WILD,WILD,fulgens,,1978-06-30,TOKYOTAMA     14 Oct 1971 ______     Transfer                   fulgens | 30 Jun 1978            Death | [Death by: Unknown means]
7114,F,~ 1970,WILD,WILD,fulgens,,1980-12-22,TOKYOTAMA     14 Oct 1971 ______     Transfer                   fulgens | 22 Dec 1980            Death | [Death by: Unknown means]
7211,M,~ 1970,WILD,WILD,fulgens,,1978-01-08,NEPAL            ????       NONE     Capture                    fulgens | ZURICH         6 Jan 1972 720011     Transfer | 8 Jan 1978            Death | [Death by: Other/Unknown         Unknown   Respiratory   Unknown after necropsy]
7223,F,~ 1970,WILD,WILD,fulgens,,1978-09-16,FERNDALE      ????     ______     Transfer KERRI                fulgens | LOUISVILL   9 Mar 1973 100049     Transfer | COLUMBUS    9 Jun 1977 772010     Transfer | 16 Sep 1978            Death | [Death by: Infection associated         Given to an institution:    Endocrine   Unknown after necropsy]
7306,F,~ 1970,WILD,WILD,fulgens,,1979-03-28,FORSS         ????     ______     Transfer PANDORA              fulgens | KANSASCTY   9 Mar 1971    128     Transfer | BUFFALO    13 Sep 1977    667     Transfer | 28 Mar 1979            Death | [Death by: Infection associated         Mounted or Preserved:    Necropsy planned later] | T254     F         ~ 1970       WILD    WILD     FERNDALE         ????     ______     Transfer   KAALA           fulgens | LOUISVILL      9 Mar 1973 100048     Transfer | 10 Sep 1979            Death | [Death by: Unknown means]
7202,F,~ 1971,WILD,WILD,fulgens,,1985-02-03,NEPAL            ????       NONE     Capture                    fulgens | ZURICH         6 Jan 1972 720012     Transfer | 3 Feb 1985            Death | [Death by: Unknown means]
7203,F,~ 1971,WILD,WILD,fulgens,,1982-01-30,ZURICH         6 Jan 1972   1-16     Transfer                   fulgens | 30 Jan 1982            Death | [Death by: Unknown means]
7204,F,~ 1971,WILD,WILD,fulgens,,1980-11-26,NEPAL            ????       NONE     Capture                              fulgens | ZURICH         6 Jan 1972 720014     Transfer | 26 Nov 1980            Death | [Death by: Other/Unknown         Given to an institution:    Generalized        Viral]
7205,M,~ 1971,WILD,WILD,fulgens,,1983-07-11,WUPPERTAL     11 Mar 1972 ______      Transfer                            fulgens | 11 Jul 1983             Death | [Death by: Unknown means]
7206,F,~ 1971,WILD,WILD,fulgens,,1983-02-10,BURFORD     1 Apr 1972    1062      Transfer B                            fulgens | BERLINZOO   7 Oct 1981 810046       Transfer | 10 Feb 1983              Death | [Death by: Self-inflicted injuries         Given to an institution:      Musculoskeletal      Trauma]
7207,F,~ 1971,WILD,WILD,fulgens,,1980-12-23,BURFORD        1 Apr 1972 ______      Transfer   KALINKA                  fulgens | 23 Dec 1980             Death | [Death by: Unknown means]
7208,M,~ 1971,WILD,WILD,fulgens,,1983-01-04,FORSS      ????     ______      Transfer HERMANNI                         fulgens | HELSINKI30 Oct 1972 720009      Transfer | 4 Jan 1983             Death | [Death by: Euthanasia (medical)   Rendered   Urinary    Bacterial]
7301,M,~ 1971,WILD,WILD,fulgens,,1980-11-21,HYDERABAD       ~ 1971   NONE         Capture                             fulgens | HOUSTON    26 Dec 1973    551         Transfer | 21 Nov 1980                Death | [Death by: Old age      Given to an institution:        Digestive   Bacterial]
7302,M,~ 1971,WILD,WILD,fulgens,,1988-01-01,ESKILSTUN      1 Dec 1973 ______      Transfer                            fulgens | 1 Jan 1988             Death | [Death by: Unknown means]
7303,F,~ 1971,WILD,WILD,fulgens,,1983-07-12,ESKILSTUN      1 Dec 1973 ______      Transfer                            fulgens | 12 Jul 1983             Death | [Death by: Unknown means]
7304,F,~ 1971,WILD,WILD,fulgens,,1984-03-17,WUPPERTAL      6 Jan 1973 ______      Transfer                            fulgens | 17 Mar 1984             Death | [Death by: Unknown means]
7305,M,~ 1971,WILD,WILD,fulgens,,1987-11-19,ASIA             ????       NONE      Capture                 FM/00/73/05 fulgens | MUNICH         8 Jan 1973 ______      Transfer | COPENHAGE25 Sep 1984 100817     Transfer | 19 Nov 1987            Death | [Death by: Euthanasia (medical)   Rendered   No necropsy planned]
7308,F,~ 1971,WILD,WILD,fulgens,,1983-07-09,PRAHA          16 Jan 1973 ______     Transfer                        fulgens | 9 Jul 1983            Death | [Death by: Unknown means]
7315,M,~ 1971,WILD,WILD,fulgens,,1984-06-01,WULFF W     ????     ______      Transfer SIKKIM                      fulgens | HELSINKI 24 Dec 1973 730011      Transfer | 1 Jun 1984             Death | [Death by: Infection associated   Incinerate    Cardiovascular  Bacterial]
7324,M,~ 1971,WILD,WILD,fulgens,,1980-03-12,FUKUOKA        7 May 1973 ______     Transfer                        fulgens | 12 Mar 1980            Death | [Death by: Unknown means]
7325,F,~ 1971,WILD,WILD,fulgens,,1980-03-12,FUKUOKA        7 May 1973 ______     Transfer                        fulgens | 12 Mar 1980            Death | [Death by: Unknown means]
7326,F,~ 1971,WILD,WILD,fulgens,,1979-10-10,LOUISVILL      9 Mar 1973 ______     Transfer                        fulgens | BUFFALO       17 Jul 1979    849     Transfer | 10 Oct 1979            Death | [Death by: Other/Unknown         Given to an institution:    Necropsy planned later]
7327,F,~ 1971,WILD,WILD,fulgens,,1980-01-18,TOKYOTAMA     27 Jan 1973 ______     Transfer                        fulgens | 18 Jan 1980            Death | [Death by: Unknown means] | 7406     F       ????           WILD    WILD     ASIA             ????       NONE     Capture                         fulgens | MUNICH           ????     ______     Transfer | COPENHAGE     25 Sep 1984 100816     Transfer | 19 Jan 1985            Death | [Death by: Other/Unknown         Rendered   Generalized   Unknown after necropsy]
7209,M,23 Jun 1972,6601,7106,fulgens,,1983-10-23,NZP-WASH   23 Jun 1972 100350     Birth                  FM/NZ/72/09 fulgens | 23 Oct 1983            Death | [Death by: Infection associated         Given to an institution:    Necropsy planned later]
7307,F,~ 1972,WILD,WILD,fulgens,,1983-10-28,HOHENSTAD        ????     ______     Transfer   HASZI                fulgens | LODZ          30 Aug 1973   1948     Transfer | 28 Oct 1983            Death | [Death by: Unknown means]
7309,F,~ 1972,WILD,WILD,fulgens,,1982-11-24,WILD                ~ 1972   NONE     Capture              fulgens | WOKING           ????        NONE     Transfer | ROTTERDAM      2 Mar 1973 100497      Transfer | 24 Nov 1982             Death | [Death by: Other/Unknown       Unknown    Necropsy planned later]
7310,M,~ 1972,WILD,WILD,fulgens,,1982-10-17,WILD                ~ 1972   NONE     Capture              fulgens | WOKING           ????        NONE     Transfer | ROTTERDAM     20 Mar 1973 100498      Transfer | 17 Oct 1982             Death | [Death by: Other/Unknown       Unknown    Necropsy planned later]
7311,F,~ 1972,WILD,WILD,fulgens,,1985-11-14,WILD                ~ 1972   NONE     Capture              fulgens | GOLLEMBEK        ????      ______     Transfer | ROTTERDAM      4 Sep 1973 100500      Transfer | 14 Nov 1985             Death | [Death by: Other/Unknown       Unknown    Necropsy planned later]
7312,M,~ 1972,WILD,WILD,fulgens,,1980-01-06,WILD                ~ 1972   NONE     Capture              fulgens | GOLLEMBEK        ????      ______     Transfer | ROTTERDAM      4 Sep 1973 100499      Transfer | 6 Jan 1980             Death | [Death by: Other/Unknown       Unknown    Necropsy planned later]
7318,M,~ 1972,WILD,WILD,fulgens,,1983-10-31,ERFURT             ~ 1973 ______     Transfer              fulgens | 31 Oct 1983            Death | [Death by: Unknown means]
7319,M,~ 1972,WILD,WILD,fulgens,,1987-02-17,HYDERABAD          ~ 1972   NONE     Capture     HOUSTON   fulgens | HOUSTON       26 Dec 1973    550     Transfer | NZP-WASH      14 Oct 1975 101379     Transfer | SEATTLE       31 Oct 1978 20924      Transfer | 17 Feb 1987            Death | [Death by: Unknown means]
7402,M,~ 1972,WILD,WILD,fulgens,,1984-06-22,BERLIN TP     27 Jun 1974 ______     Transfer              fulgens | 22 Jun 1984            Death | [Death by: Unknown means]
7403,F,~ 1972,WILD,WILD,fulgens,,1982-05-12,BERLIN TP     27 Jun 1974 ______     Transfer                     fulgens | 12 May 1982            Death | [Death by: Unknown means]
7404,M,~ 1972,WILD,WILD,fulgens,,1981-02-17,ZOOSENSEN        ????     ______     Transfer                     fulgens | TORONTO       20 Jun 1974   3786     Transfer | 17 Feb 1981            Death | [Death by: Other/Unknown       Unknown   Necropsy planned later]
7407,F,~ 1972,WILD,WILD,fulgens,,1984-02-06,DORTMUND      20 Feb 1974 ______     Transfer                     fulgens | HAMBURG            ~ 1978 ______     Transfer | 6 Feb 1984            Death | [Death by: Unknown means]
7412,M,~ 1972,WILD,WILD,fulgens,,1978-01-15,POZNAN             ~ 1974 ______     Transfer                     fulgens | 15 Jan 1978            Death | [Death by: Unknown means]
7414,M,~ 1972,WILD,WILD,fulgens,,1980-12-04,NAGOYA        15 Jun 1974 ______     Transfer                     fulgens | 4 Dec 1980            Death | [Death by: Unknown means]
7415,F,~ 1972,WILD,WILD,fulgens,,1982-04-24,NAGOYA        15 Jun 1974 ______     Transfer                     fulgens | 24 Apr 1982            Death | [Death by: Unknown means]
7420,F,~ 1972,WILD,WILD,fulgens,,1981-12-16,TOKYOTAMA     17 Apr 1974 ______     Transfer                     fulgens | 16 Dec 1981            Death | [Death by: Unknown means]
7421,M,~ 1972,WILD,WILD,fulgens,,1978-01-15,TOKYOTAMA          ~ 1974 ______     Transfer                     fulgens | 15 Jan 1978            Death | [Death by: Unknown means]
7501,F,~ 1972,WILD,WILD,fulgens,,1980-12-11,ASIA               ~ 1974   NONE     Capture   ZIZI               fulgens | WIESBADEN        ????     ______     Transfer | ZURICH         6 Nov 1975 750014     Transfer | NZP-WASH      10 Jan 1979 102714     Transfer | SANDIEGOZ     21 Sep 1979 179296     Transfer | 11 Dec 1980            Death | [Death by: Other/Unknown       Given to an institution:    Necropsy planned later]
7522,F,~ 1972,WILD,WILD,fulgens,,1980-09-19,EREVAN          ~ 1972   NONE     Capture                           fulgens | COLUMBUS      ????     ______     Transfer | NZP-WASH   11 Jun 1975 101283     Transfer | 19 Sep 1980            Death | [Death by: Environ/Behav conditions         Given to an institution:    Necropsy planned later]
7523,M,~ 1972,WILD,WILD,fulgens,,1987-01-01,EREVAN       ~ 1972   NONE           Capture    HERB                fulgens | COLUMBUS   ????     ______           Transfer | NZP-WASH11 Jun 1975 101282           Transfer | 1 Jan 1987                  Death | [Death by: Euthanasia (medical)   Unknown] | T274     F         ~ 1972       WILD    WILD     ZOOSENSEN     ????     ______     Transfer                          fulgens | TORONTO    20 Jun 1974   3788     Transfer | 19 Jul 1977            Death | [Death by: Euthanasia (medical)         Mounted or Preserved:    Cardiovascular   Bacterial]
7314,F,~ Jun 1973,WILD,WILD,fulgens,,1980-09-30,WULFF W          ????     ______     Transfer S”P”                  fulgens | HELSINKI      24 Dec 1973 730021     Transfer | 30 Sep 1980            Death | [Death by: Other/Unknown         Given to an institution:    Necropsy planned later]
7316,M,~ Jun 1973,WILD,WILD,fulgens,,1989-01-02,WULFF W          ????     ______     Transfer   BURMA               fulgens | HELSINKI      24 Dec 1973 730012     Transfer | 2 Jan 1989            Death | [Death by: Other/Unknown         Unknown   Necropsy planned later]
7317,F,~ Jun 1973,WILD,WILD,fulgens,,1985-04-09,WULFF W    ????     ______     Transfer HETA                        fulgens | HELSINKI24 Dec 1973 730013     Transfer | 9 Apr 1985            Death | [Death by: Infection associated   Rendered   Respiratory   Bacterial]
7320,F,29 Jun 1973,6601,7106,fulgens,,1982-08-14,NZP-WASH      29 Jun 1973 100731     Birth     ALFALFA              fulgens | COLUMBUS       8 Aug 1974 742004     Transfer | 11 Jun 1975 742004     Transfer | 14 Aug 1982            Death | [Death by: Other/Unknown         Given to an institution:    Unknown (after necropsy)]
7321,M,29 Jun 1973,6601,7106,fulgens,,1979-04-30,NZP-WASH      29 Jun 1973 100730     Birth      BUCKWHEAT           fulgens | COLUMBUS       8 Aug 1974 742014     Transfer | 11 Jun 1975 742014     Transfer | LOUISVILL      9 Jun 1977 100407     Transfer | 30 Apr 1979                       Death | [Death by: Injury from predator   Incinerate              Generalized     Trauma]
7405,F,~ 1973,WILD,WILD,fulgens,,1985-03-23,ZOOSENSEN   ????     ______     Transfer WHITE FACE                 fulgens | TORONTO  20 Jun 1974   3787     Transfer | 23 Mar 1985            Death | [Death by: Other/Unknown        Given to an institution:    Cardiovascular   Metabolism]
7417,M,~ 1973,WILD,WILD,fulgens,,1979-01-09,DUISBURG 26 Jan 1974 ______              Transfer                   fulgens | ZURICH    8 Dec 1978 780020              Transfer | 9 Jan 1979                     Death | [Death by: Other/Unknown        Given to an institution:    Digestive            New growths/cancer]
7422,F,~ 1973,WILD,WILD,styani,,1978-01-11,HOPEI       ~ 1974   NONE     Capture                               styani | BEIJING   ????     ______     Transfer | TORONTO 7 Jul 1976   7769     Transfer | 11 Jan 1978            Death | [Death by: Euthanasia (medical)   Mounted or Preserved:     No necropsy planned]
7502,M,~ 1973,WILD,WILD,fulgens,,1986-02-07,NEUWIED          ????     ______        Transfer    'A'            fulgens | ADELAIDE      14 Apr 1975 750001        Transfer | 7 Feb 1986               Death | [Death by: Unknown means]
7503,F,~ 1973,WILD,WILD,fulgens,,1987-05-03,NEUWIED       ????     ______     Transfer 'B'                     fulgens | ADELAIDE   14 Apr 1975 750002     Transfer | 3 May 1987            Death | [Death by: Euthanasia (medical)           Mounted or Preserved:    Musculoskeletal   Unknown after necropsy]
7505,M,~ 1973,WILD,WILD,fulgens,,1984-11-27,PRAHA         25 Jun 1975 ______        Transfer                   fulgens | 27 Nov 1984               Death | [Death by: Unknown means]
7506,F,~ 1973,WILD,WILD,fulgens,,1985-11-30,PRAHA         25 Jun 1975 ______        Transfer                   fulgens | 30 Nov 1985               Death | [Death by: Unknown means]
7508,F,~ 1973,WILD,WILD,fulgens,,1979-05-06,DELHI            ????     ______     Transfer                      fulgens | ROTTERDAM     27 Mar 1975 100506     Transfer | 6 May 1979            Death | [Death by: Other/Unknown           Unknown   Necropsy planned later]
7517,M,~ 1973,WILD,WILD,fulgens,,1982-03-05,FERNDALE       ????     ______     Transfer SPANKY         FM/00/75/17 fulgens | COLUMBUS     9 Jan 1975 752002     Transfer | 5 Mar 1982            Death | [Death by: Infection associated         Given to an institution:    Urinary   Bacterial]
7524,F,~ 1973,WILD,WILD,fulgens,,1988-06-23,KUSHIRO Z      8 Nov 1985   001H     Transfer   KAASAN                 fulgens | 23 Jun 1988            Death | [Death by: Unknown means]
7416,F,12 Jun 1974,7102,7103,fulgens,,1982-09-29,AMSTERDAM     12 Jun 1974 ______     Birth                             fulgens | ROTTERDAM      7 Mar 1975 100504     Transfer | 29 Sep 1982            Death | [Death by: Other/Unknown        Unknown   Necropsy planned later]
7423,F,13 Jun 1974,7310,7309,fulgens,,1978-12-12,ROTTERDAM     13 Jun 1974 100501     Birth                             fulgens | AMSTERDAM      7 Mar 1975 ______     Transfer | 12 Dec 1978            Death | [Death by: Unknown means]
7512,M,~ 1974,WILD,WILD,fulgens,,1982-09-29,WILD             ????       NONE     Capture                           fulgens | DELHI            ????     ______     Transfer | ROTTERDAM     27 Mar 1975 100505     Transfer | SYDNEY         3 Feb 1977 770028     Transfer | 29 Sep 1982            Death | [Death by: Unknown means]
7518,F,~ 1974,WILD,WILD,fulgens,,1987-07-25,FERNDALE         ????     ______     Transfer   BANDIT                 fulgens | DENVER        22 Feb 1975 00325      Transfer | NY BRONX      27 Apr 1983 831129     Transfer | 25 Jul 1987            Death | [Death by: Unknown means]
7519,F,~ 1974,WILD,WILD,fulgens,,1983-03-14,FERNDALE         ????     ______     Transfer   PALEFACE               fulgens | DENVER        10 Jan 1975 00319      Transfer | 14 Mar 1983            Death | [Death by: Unknown means]
7604,F,~ 1974,WILD,WILD,fulgens,,1983-12-23,MUNICH         7 May 1976 ______     Transfer                          fulgens | 23 Dec 1983            Death | [Death by: Unknown means]
7606,F,~ 1974,WILD,WILD,fulgens,,1984-03-20,DORTMUND       9 Jan 1976 ______     Transfer   MICKY                  fulgens | 20 Mar 1984            Death | [Death by: Unknown means]
7615,M,~ 1974,WILD,WILD,fulgens,,1979-08-10,KOLN          25 Sep 1976 ______     Transfer    TEDDY       fulgens | 10 Aug 1979            Death | [Death by: Unknown means]
7616,F,~ 1974,WILD,WILD,fulgens,,1985-02-21,YOKOHAMA      21 Feb 1976 ______     Transfer    CHAKO       fulgens | 21 Feb 1985            Death | [Death by: Unknown means]
7617,F,~ 1974,WILD,WILD,fulgens,,1981-12-02,ASIA                ~ 1974   NONE     Capture    PEACH       fulgens | ATLANTA             ~ 1976 760900     Transfer | NZP-WASH       1 Dec 1976 101807      Transfer | NZP-CRC       22 Dec 1978 101807      Transfer | LOSANGELE     18 Dec 1979 09916       Transfer | 2 Dec 1981             Death | [Death by: Other/Unknown       Unknown    Necropsy planned later]
7618,F,~ 1974,WILD,WILD,fulgens,,1980-10-24,YOKOHAMA      20 Jan 1976     12     Transfer                fulgens | 24 Oct 1980            Death | [Death by: Unknown means]
7619,M,~ 1974,WILD,WILD,fulgens,,1986-07-28,YOKOHAMA       2 Jan 1976 ______     Transfer    KORO        fulgens | TOKYOTAMA          ~ 1980 ______     Transfer | 28 Jul 1986            Death | [Death by: Unknown means]
7408,F,7 Jul 1974,6701,6602,fulgens,,1980-08-26,WHIPSNADE      7 Jul 1974    822     Birth       F1          fulgens | MARWELL       26 Mar 1975 100001     Transfer | LONDON RP     13 Aug 1980   1894     Transfer | 26 Aug 1980            Death | [Death by: Unknown means]
7409,F,7 Jul 1974,6701,6602,fulgens,,1981-06-11,WHIPSNADE  7 Jul 1974 ______       Birth         F2          fulgens | MARWELL   26 Mar 1975     067      Transfer | 11 Jun 1981              Death | [Death by: Infection associated   Incinerate     Reproductive       Toxicity]
7603,M,~ 1974,WILD,WILD,styani,,1979-04-20,HOPEI              ~ 1974   NONE     Capture                 styani | BEIJING          ????     ______     Transfer | TORONTO        7 Jul 1976   7768     Transfer | 20 Apr 1979                Death | [Death by: Infection associated   Unknown       Necropsy planned later]
7401,F,8 Jul 1974,6601,7106,fulgens,,1987-07-24,NZP-WASH       8 Jul 1974 100953     Birth      YIN               fulgens | HOUSTON        7 Nov 1975    701     Transfer | INDIANAPL     27 Mar 1986   1441     Transfer | 24 Jul 1987            Death | [Death by: Other/Unknown       Unknown   Necropsy planned later]
7411,F,8 Jul 1974,6601,7106,fulgens,,1984-06-17,NZP-WASH       8 Jul 1974 100954     Birth     BERTHA MAE         fulgens | NZP-CRC        5 Jan 1983 100954     Transfer | NZP-WASH       2 Apr 1984 100954     Transfer | 17 Jun 1984            Death | [Death by: Other/Unknown       Given to an institution:    Necropsy planned later]
7419,M,8 Jul 1974,6801,6806,fulgens,,1978-09-17,COLO SPRG  8 Jul 1974 100261      Birth                           fulgens | 17 Sep 1978             Death | [Death by: Infection associated   Incinerate    Digestive      Nutrition]
7509,F,13 Jun 1975,7310,7309,fulgens,,1989-04-07,ROTTERDAM 13 Jun 1975 100508     Birth     OLD ROTT               fulgens | SYDNEY     3 Feb 1977 770027     Transfer | 7 Apr 1989            Death | [Death by: Euthanasia (medical)   Unknown   No necropsy planned]
7510,F,13 Jun 1975,7310,7309,fulgens,,1978-12-13,ROTTERDAM     13 Jun 1975 100507     Birth                        fulgens | 13 Dec 1978            Death | [Death by: Other/Unknown       Unknown   Necropsy planned later]
7507,M,14 Jun 1975,7102,7103,fulgens,,1983-12-06,AMSTERDAM     14 Jun 1975 ______     Birth                        fulgens | STUTTGART          ~ 1978 ______     Transfer | 6 Dec 1983            Death | [Death by: Unknown means]
7514,M,20 Jun 1975,7209,7210,fulgens,,1991-12-21,NZP-WASH  20 Jun 1975 101292      Birth     OLDFIELD              fulgens | NZP-CRC    2 Apr 1984 101292      Transfer | MILL MOUN 27 Jul 1988   0223      Transfer | 21 Dec 1991             Death | [Death by: Infection associated   Bury   Hemic/Lymph    New growths/cancer]
