stud,sex,birth,sire,dam,taxon,name,death,events
9267,M,5 Jul 1992,8831,8759,styani,YUU-YUU,1998-08-26,SENDAISHI       5 Jul 1992 ______      Birth      YUU-YUU   JAZGA 193C   styani | HAMAMATSU      17 Mar 1997 ______      Transfer | 26 Aug 1998             Death | [Death by: Unknown means]
9219,M,8 Jul 1992,8633,8803,fulgens,,2001-04-24,NZP-CRC    8 Jul 1992 110696     Birth     BEN                           fulgens | MINNESOTA21 Apr 1994    8131     Transfer | 24 Apr 2001             Death | [Death by: Other/Unknown        Mounted or Preserved:     Generalized   Unknown after necropsy]
9220,M,8 Jul 1992,8633,8803,fulgens,,2002-12-19,NZP-CRC        8 Jul 1992 110697     Birth       JERRY                  fulgens | NY BRONX      13 May 1998 981060     Transfer | 19 Dec 2002            Death | [Death by: Other/Unknown           Unknown   Necropsy planned later]
9221,?,9 Jul 1992,8629,8907,styani,,1992-08-28,"CLEVELAND      9 Jul 1992 920707      Birth                             styani | 28 Aug 1992             Death | [Death by: Other/Unknown           Incinerate    Digestive   Circulatory, secondary]"
9230,F,9 Jul 1992,8901,8304,fulgens,,1996-01-09,FONTAINE    9 Jul 1992 77AF6          Birth                FF/DF/92/30 fulgens | LA PALMYR   3 Jun 1994   1549         Transfer | 9 Jan 1996                Death | [Death by: Infection associated           Mounted or Preserved:    Digestive       Bacterial]
92139,F,12 Jul 1992,UNK,UNK,styani,,1999-09-13,KUNMING    12 Jul 1992 ______     Birth     COBRA                       styani | LISBON      7 Apr 1994   3409     Transfer | 13 Sep 1999            Death | [Death by: Infection associated           Given to an institution:    Digestive   Bacterial]
9222,F,13 Jul 1992,8317,8110,fulgens,,,KNOXVILLE     13 Jul 1992   1528      Birth      MOLLY                  fulgens | SYRACUSE      20 Dec 1995 M95030      Transfer | GARDENCTY     29 May 2001 B01013      Transfer | 25 Apr 2002 B01013      Transfer
9223,F,13 Jul 1992,8317,8110,fulgens,,1992-12-25,KNOXVILLE     13 Jul 1992   1529     Birth     Mimi                     fulgens | 25 Dec 1992            Death | [Death by: Other/Unknown           Given to an institution:    Digestive   Fungal]
9268,M,13 Jul 1992,8924,8838,styani,JAZGA,,SABAE         13 Jul 1992 ______      Birth                JAZGA 194C   styani | MISHIMA       26 Mar 1996 ______      Transfer
9269,M,13 Jul 1992,8924,8838,styani,JAZGA,,SABAE       13 Jul 1992 ______   Birth                JAZGA 195C   styani | MISHIMA     26 Mar 1996 ______   Transfer
9270,M,16 Jul 1992,8847,9194,styani,JAZGA,,SHIRAHAMA   16 Jul 1992 ______   Birth                JAZGA 196C   styani
9233,F,17 Jul 1992,8410,8606,fulgens,,2006-04-24,HELSINKI    17 Jul 1992 920173   Birth      JATTA     FF/HE/92/33 fulgens | GIVSKUD      9 Feb 1994 101593   Transfer | DUISBURG    12 Mar 2002   4381   Transfer | 24 Apr 2006          Death | [Death by: Unknown means]
9271,M,17 Jul 1992,8856,8857,styani,CHA-CHA,,TOKUYAMA    17 Jul 1992 ______   Birth      CHA-CHA   JAZGA 197C   styani | TAKARAZUK   13 Mar 1994 ______   Transfer | TOKYOUENO   17 Apr 2003 926425   Transfer
9272,M,17 Jul 1992,8856,8857,styani,TAN-TAN,1997-01-27,TOKUYAMA    17 Jul 1992 ______   Birth      TAN-TAN   JAZGA 198C   styani | ITOZU            ~ 1993 ______   Transfer | 27 Jan 1997          Death | [Death by: Unknown means]
9273,F,20 Jul 1992,8749,8751,styani,KI-KI,,HIROSHIMA   20 Jul 1992 ______   Birth      KI-KI     JAZGA 199C   styani | KAGOSHIMA   19 Jan 2000 ______   Transfer
9274,F,20 Jul 1992,8749,8751,styani,REN-REN,,HIROSHIMA   20 Jul 1992 ______   Birth      REN-REN   JAZGA 200C   styani | OKAYAMA     22 Dec 1994 ______   Transfer
9275,?,22 Jul 1992,8935,9050,styani,JAZGA,1992-07-24,ITOZU       22 Jul 1992 ______   Birth                JAZGA 201C   styani | 24 Jul 1992          Death | [Death by: Unknown means]
9276,F,26 Jul 1992,8749,8750,styani,JAZGA,1992-08-14,HIROSHIMA   26 Jul 1992 ______   Birth                JAZGA 202C   styani | 14 Aug 1992          Death | [Death by: Unknown means]
9277,F,26 Jul 1992,8749,8750,styani,JAZGA,1992-08-22,HIROSHIMA   26 Jul 1992 ______   Birth                JAZGA 203C   styani | 22 Aug 1992          Death | [Death by: Unknown means]
9278,F,26 Jul 1992,UNK,UNK,styani,JAZGA,1992-07-28,KOCHI NOI   26 Jul 1992 ______   Birth                JAZGA 204C   styani | 28 Jul 1992          Death | [Death by: Unknown means]
9279,M,7 Aug 1992,8643,8644,styani,,,OKAYAMA        7 Aug 1992 ______     Birth      05         JAZGA 205C   styani | OSAKA         21 Dec 1994    406     Transfer
9280,F,7 Aug 1992,8643,8644,styani,MIMI,2006-11-01,OKAYAMA        7 Aug 1992 ______     Birth      MIMI       JAZGA 206C   styani | TOKUYAMA           ~ 1993 ______     Transfer | 1 Nov 2006            Death | [Death by: Unknown means]
9252,M,5 Dec 1992,8401,8507,fulgens,,2008-03-23,SYDNEY         5 Dec 1992 920271     Birth      SHANKU                  fulgens | MADRID Z       5 Aug 1994   PR57     Transfer | LA FRONTI     20 Dec 2007   PR23     Transfer | 23 Mar 2008            Death | [Death by: Unknown means]
9384,F,2 Jun 1993,9095,9096,styani,,1993-08-27,BATTLE CR  2 Jun 1993   0461         Birth     CUB #1                   styani | 27 Aug 1993                Death | [Death by: Other/Unknown        Given to an institution:    Generalized       Unknown after necropsy]
9385,F,2 Jun 1993,9095,9096,styani,,2000-01-19,BATTLE CR      2 Jun 1993   0462     Birth     TAU-AH                   styani | 19 Jan 2000            Death | [Death by: Other/Unknown         Bury   Generalized   Unknown after necropsy]
9323,M,5 Jun 1993,8737,8863,fulgens,,2006-11-02,MADRID Z       5 Jun 1993   PR44     Birth      MAX                     fulgens | ESKILSTUN     26 May 1995     87     Transfer | 2 Nov 2006            Death | [Death by: Unknown means]
9324,F,5 Jun 1993,8737,8863,fulgens,,2005-05-03,MADRID Z       5 Jun 1993   PR45     Birth      MACARENA                fulgens | AALBORG        7 Apr 1995   FUL2     Transfer | 3 May 2005            Death | [Death by: Unknown means]
9332,M,5 Jun 1993,9082,9012,fulgens,,1993-06-08,BERLINZOO      5 Jun 1993 930052     Birth                              fulgens | 8 Jun 1993            Death | [Death by: Unknown means]
9333,M,5 Jun 1993,9082,9012,fulgens,,1993-06-11,BERLINZOO      5 Jun 1993 930053     Birth                              fulgens | 11 Jun 1993            Death | [Death by: Unknown means]
9371,F,5 Jun 1993,8407,8952,fulgens,,2001-02-08,BURFORD        5 Jun 1993   1516     Birth      RUSTY                   fulgens | EDINBURGH     19 Apr 1994 94DA01     Transfer | 8 Feb 2001             Death | [Death by: Unknown means]
9372,?,5 Jun 1993,8407,8952,fulgens,,1993-06-22,BURFORD        5 Jun 1993   1515     Birth                     fulgens | 22 Jun 1993            Death | [Death by: Other/Unknown       Rendered   No necropsy planned]
9386,M,9 Jun 1993,91100,9196,styani,,1993-06-18,CALGARY    9 Jun 1993 104050     Birth                         styani | 18 Jun 1993            Death | [Death by: Injury from exhibit mate   Unknown   No necropsy planned]
9387,F,9 Jun 1993,91100,9196,styani,,1993-06-23,CALGARY        9 Jun 1993 104051      Birth      BIN MAO       styani | 23 Jun 1993             Death | [Death by: Unknown means]
9315,M,12 Jun 1993,9128,9003,fulgens,,1993-12-13,BUSSOLENG     12 Jun 1993 AFF004      Birth      ALPHA         fulgens | 13 Dec 1993             Death | [Death by: Unknown means]
9316,M,12 Jun 1993,9128,9003,fulgens,TKN,2007-02-05,BUSSOLENG     12 Jun 1993 AFF003      Birth      TKN 10 - B    fulgens | DRESDEN Z      7 Oct 1994 194154      Transfer | 5 Feb 2007             Death | [Death by: Unknown means]
9325,M,15 Jun 1993,8738,8957,fulgens,,,MADRID Z      15 Jun 1993   PR46      Birth      FUJI          fulgens | SANDIEGOZ      9 Nov 1995 595454      Transfer
9326,F,15 Jun 1993,8738,8957,fulgens,,1993-07-27,MADRID Z      15 Jun 1993   PR47      Birth                    fulgens | 27 Jul 1993             Death | [Death by: Other/Unknown       Unknown   Generalized    Unknown after necropsy]
9327,M,15 Jun 1993,8738,8957,fulgens,,1993-06-17,MADRID Z      15 Jun 1993    PR48     Birth     FRED           fulgens | 17 Jun 1993             Death | [Death by: Environ/Behav conditions       Unknown      Generalized    Unknown after necropsy]
9328,M,15 Jun 1993,8730,8503,fulgens,,2002-04-28,MADRID Z      15 Jun 1993   PR49      Birth      MARIO         fulgens | AUCKLAND      12 Jan 1995 950009      Transfer | HAMILTON      28 Feb 2000 A10019      Transfer | 28 Apr 2002             Death | [Death by: Unknown means]
9329,F,15 Jun 1993,8730,8503,fulgens,,1998-06-28,MADRID Z      15 Jun 1993    PR50     Birth      MARIA         fulgens | SANDIEGOZ      9 Nov 1995 595455     Transfer | 28 Jun 1998            Death | [Death by: Other/Unknown       Given to an institution:    Generalized      Metabolism]
9363,F,18 Jun 1993,8406,9013,fulgens,,1998-12-09,NY BRONX  18 Jun 1993 931151     Birth     LIA                         fulgens | NASHV ZOO  3 May 1994 940066     Transfer | 9 Dec 1998            Death | [Death by: Euthanasia (medical)   Unknown   Unknown (after necropsy)]
9360,M,19 Jun 1993,8203,8820,fulgens,,1993-06-20,DENVER        19 Jun 1993 930319     Birth      TA POL                 fulgens | 20 Jun 1993            Death | [Death by: Unknown means]
9361,M,19 Jun 1993,8203,8820,fulgens,,1993-06-19,DENVER        19 Jun 1993 930321     Birth                             fulgens | 19 Jun 1993            Death | [Death by: Unknown means]
9362,F,19 Jun 1993,8203,8820,fulgens,,1993-06-19,DENVER        19 Jun 1993 930320     Birth                             fulgens | 19 Jun 1993            Death | [Death by: Unknown means]
9312,F,20 Jun 1993,9046,8304,fulgens,,1993-06-22,FONTAINE      20 Jun 1993 ______     Birth                             fulgens | 22 Jun 1993            Death | [Death by: Unknown means]
9313,F,20 Jun 1993,9046,8304,fulgens,,1993-07-14,FONTAINE      20 Jun 1993 ______     Birth                             fulgens | 14 Jul 1993            Death | [Death by: Unknown means]
